source,relationship,target,source_paper_title
WOM marketing,influences,Behavioral intention,The influence of social norms and word-of-mouth marketing on behavioral intention and behavioral use of generative AI chatbots among university students
Social norms,influences,Behavioral intention,The influence of social norms and word-of-mouth marketing on behavioral intention and behavioral use of generative AI chatbots among university students
Behavioral intention,predicts,Actual chatbot use,The influence of social norms and word-of-mouth marketing on behavioral intention and behavioral use of generative AI chatbots among university students
student,uses,AI persona,AI Persona–Supported Library Marketing and Communication Strategy: A Student-Led Content Workflow
librarian,oversees,AI persona,AI Persona–Supported Library Marketing and Communication Strategy: A Student-Led Content Workflow
AI persona,scaffolds,writing process,AI Persona–Supported Library Marketing and Communication Strategy: A Student-Led Content Workflow
student worker,collaborates,library director,AI Persona–Supported Library Marketing and Communication Strategy: A Student-Led Content Workflow
AI persona,preserves,writing standards,AI Persona–Supported Library Marketing and Communication Strategy: A Student-Led Content Workflow
GenAI,augments,personalization,"Tripolar sentiment toward generative AI in hospitality marketing: legitimacy, herd dynamics, and managerial implications"
GenAI,improves,operational efficiency,"Tripolar sentiment toward generative AI in hospitality marketing: legitimacy, herd dynamics, and managerial implications"
GenAI,creates,dynamic pricing,"Tripolar sentiment toward generative AI in hospitality marketing: legitimacy, herd dynamics, and managerial implications"
GenAI,threatens,job loss,"Tripolar sentiment toward generative AI in hospitality marketing: legitimacy, herd dynamics, and managerial implications"
GenAI,requires,data privacy,"Tripolar sentiment toward generative AI in hospitality marketing: legitimacy, herd dynamics, and managerial implications"
marketers,requires,generative AI,RL-TweetGen: A Socio-Technical Framework for Engagement-Optimized Short Text Generation in Digital Commerce Using Large Language Models and Reinforcement Learning
content strategists,requires,generative AI,RL-TweetGen: A Socio-Technical Framework for Engagement-Optimized Short Text Generation in Digital Commerce Using Large Language Models and Reinforcement Learning
Web3 platforms,uses,generative AI,RL-TweetGen: A Socio-Technical Framework for Engagement-Optimized Short Text Generation in Digital Commerce Using Large Language Models and Reinforcement Learning
RL-TweetGen,automates,social media content generation,RL-TweetGen: A Socio-Technical Framework for Engagement-Optimized Short Text Generation in Digital Commerce Using Large Language Models and Reinforcement Learning
instruction-tuned LLMs,augments,tweet generation,RL-TweetGen: A Socio-Technical Framework for Engagement-Optimized Short Text Generation in Digital Commerce Using Large Language Models and Reinforcement Learning
reinforcement learning (RL),improves,tweet engagement optimization,RL-TweetGen: A Socio-Technical Framework for Engagement-Optimized Short Text Generation in Digital Commerce Using Large Language Models and Reinforcement Learning
GenAI,augments,marketing research,Generative AI in innovation and marketing processes: A roadmap of research opportunities
GenAI,changes,consumer behavior,Generative AI in innovation and marketing processes: A roadmap of research opportunities
firms,harnesses,GenAI potential,Generative AI in innovation and marketing processes: A roadmap of research opportunities
GenAI,analyzes,market-based assets,Generative AI in innovation and marketing processes: A roadmap of research opportunities
GenAI,analyzes,consumer skills,Generative AI in innovation and marketing processes: A roadmap of research opportunities
GenAI,analyzes,firm value,Generative AI in innovation and marketing processes: A roadmap of research opportunities
Generative AI,augments,innovation,"Situating Generative AI Tools as a ""Smart Revolution"" in African American Tourism Entrepreneurship"
Generative AI,drives,growth,"Situating Generative AI Tools as a ""Smart Revolution"" in African American Tourism Entrepreneurship"
Generative AI,requires,upskilling,"Situating Generative AI Tools as a ""Smart Revolution"" in African American Tourism Entrepreneurship"
African American entrepreneurs,need,resources,"Situating Generative AI Tools as a ""Smart Revolution"" in African American Tourism Entrepreneurship"
Partnerships,builds,access,"Situating Generative AI Tools as a ""Smart Revolution"" in African American Tourism Entrepreneurship"
Training programs,implements,skills,"Situating Generative AI Tools as a ""Smart Revolution"" in African American Tourism Entrepreneurship"
GenAI,augments,business processes,From Tokens to Tactics: Operationalizing Generative AI in Enterprise Workflows
GenAI,automates,customer support,From Tokens to Tactics: Operationalizing Generative AI in Enterprise Workflows
GenAI,improves,operations,From Tokens to Tactics: Operationalizing Generative AI in Enterprise Workflows
GenAI,requires,governance structures,From Tokens to Tactics: Operationalizing Generative AI in Enterprise Workflows
GenAI,integrates,data pipelines,From Tokens to Tactics: Operationalizing Generative AI in Enterprise Workflows
AI,enables,machines,Strategies for Gen AI Enterprise Adoption
Gen AI,generates,content,Strategies for Gen AI Enterprise Adoption
traditional AI,analyzes,datasets,Strategies for Gen AI Enterprise Adoption
Gen AI,creates,novel outputs,Strategies for Gen AI Enterprise Adoption
human oversight,requires,little intervention,Strategies for Gen AI Enterprise Adoption
Gen AI,accelerates,change,Strategies for Gen AI Enterprise Adoption
Gen AI,revolutionizes,global economy,Strategies for Gen AI Enterprise Adoption
GenAI,creates,synthetic data,Leveraging Generative AI in Management Decision Making: Opportunities and Challenges
GenAI,drafts,documents,Leveraging Generative AI in Management Decision Making: Opportunities and Challenges
GenAI,creates,designs,Leveraging Generative AI in Management Decision Making: Opportunities and Challenges
GenAI,simulates,scenarios,Leveraging Generative AI in Management Decision Making: Opportunities and Challenges
ChatGPT,effective,context understanding,Leveraging Generative AI in Management Decision Making: Opportunities and Challenges
ChatGPT,supports,domain knowledge,Leveraging Generative AI in Management Decision Making: Opportunities and Challenges
Copilot,builds,prototypes,Leveraging Generative AI in Management Decision Making: Opportunities and Challenges
DALL-E,uses,visualization,Leveraging Generative AI in Management Decision Making: Opportunities and Challenges
DALL-E,applies,branding,Leveraging Generative AI in Management Decision Making: Opportunities and Challenges
DALL-E,designs,products,Leveraging Generative AI in Management Decision Making: Opportunities and Challenges
GenAI,requires,human oversight,Leveraging Generative AI in Management Decision Making: Opportunities and Challenges
GenAI,needs,strategic integration,Leveraging Generative AI in Management Decision Making: Opportunities and Challenges
Generative AI,creates,virtual content,"Generative AI in Virtual Media Image, Video, and Animation Generation"
Generative AI,augments,human creativity,"Generative AI in Virtual Media Image, Video, and Animation Generation"
Generative AI,reshapes,inventive expression,"Generative AI in Virtual Media Image, Video, and Animation Generation"
Generative AI,redefines,industries,"Generative AI in Virtual Media Image, Video, and Animation Generation"
Generative AI,synthesizes,hyper-sensitive images,"Generative AI in Virtual Media Image, Video, and Animation Generation"
Generative AI,grows,surreal landscapes,"Generative AI in Virtual Media Image, Video, and Animation Generation"
Packages,include,virtual try-ons,"Generative AI in Virtual Media Image, Video, and Animation Generation"
educators,requires,industry partners,Re-Imagining Marketing Education for Career Readiness in the GenAI Era
students,develops,practical skills,Re-Imagining Marketing Education for Career Readiness in the GenAI Era
marketing theory,should be centralized in,GenAI-related subject matter,Re-Imagining Marketing Education for Career Readiness in the GenAI Era
educators,integrates,external materials,Re-Imagining Marketing Education for Career Readiness in the GenAI Era
students,equips with,necessary competencies,Re-Imagining Marketing Education for Career Readiness in the GenAI Era
industry practitioners,emphasizes,marketing theory and ethics,Re-Imagining Marketing Education for Career Readiness in the GenAI Era
marketing firms,leverage,generative AI,Persuasiveness of Conversational Agents for Targeted Advertising: Autism and Gen-AI Chatbots
autistic young adults,more trusting of,bad actors,Persuasiveness of Conversational Agents for Targeted Advertising: Autism and Gen-AI Chatbots
chatbot,influence,consumer preferences,Persuasiveness of Conversational Agents for Targeted Advertising: Autism and Gen-AI Chatbots
celebrity chatbot,persuade,autistic individuals with substantial support needs,Persuasiveness of Conversational Agents for Targeted Advertising: Autism and Gen-AI Chatbots
AI,augments,marketing,DEEPFAKE: A MASTER OF DIGITAL ILLUSION OR DISRUPTOR OF OBJECTIVE REALLITY?
deepfake,creates,personalised campaigns,DEEPFAKE: A MASTER OF DIGITAL ILLUSION OR DISRUPTOR OF OBJECTIVE REALLITY?
deepfake,manipulates,multimedia content,DEEPFAKE: A MASTER OF DIGITAL ILLUSION OR DISRUPTOR OF OBJECTIVE REALLITY?
research study,examines,positive applications of deepfake technology,DEEPFAKE: A MASTER OF DIGITAL ILLUSION OR DISRUPTOR OF OBJECTIVE REALLITY?
qualitative case study approach,analyses,application and implementation of deepfake,DEEPFAKE: A MASTER OF DIGITAL ILLUSION OR DISRUPTOR OF OBJECTIVE REALLITY?
recipients,regards,deepfake as innovative element,DEEPFAKE: A MASTER OF DIGITAL ILLUSION OR DISRUPTOR OF OBJECTIVE REALLITY?
AI,boosts,productivity,ChatGPT based method for obtaining repeatable and quantitative colorimetric measurements
ChatGPT,generates,human-like dialogue,ChatGPT based method for obtaining repeatable and quantitative colorimetric measurements
ChatGPT,determines,colorimetric values,ChatGPT based method for obtaining repeatable and quantitative colorimetric measurements
Color Grab,quantitatively determines,RGB values,ChatGPT based method for obtaining repeatable and quantitative colorimetric measurements
ChatGPT,confirms,UV-Vis spectrophotometer results,ChatGPT based method for obtaining repeatable and quantitative colorimetric measurements
educators,requires,time,Generative AI for scalable feedback to multimodal exercises
Generative AI,provides,automated feedback,Generative AI for scalable feedback to multimodal exercises
human expert feedback,compared to,Generative AI models,Generative AI for scalable feedback to multimodal exercises
GPT-4,performs best among,seven Generative AI models,Generative AI for scalable feedback to multimodal exercises
GPT-4,dominates,three other Generative AI models,Generative AI for scalable feedback to multimodal exercises
expert assessment,indicates that,qualitative feedback is mostly correct,Generative AI for scalable feedback to multimodal exercises
marketing analytics learners,highly recommend,app and its Generative AI feedback,Generative AI for scalable feedback to multimodal exercises
LLMs,augments,marketing communications,"Powerful tools for personalisation: Using large language model-based agents, knowledge graphs and customer signals to connect with users"
enterprise data sources,provides,hyper-personalised information,"Powerful tools for personalisation: Using large language model-based agents, knowledge graphs and customer signals to connect with users"
templated prompts,combines with,LLMs,"Powerful tools for personalisation: Using large language model-based agents, knowledge graphs and customer signals to connect with users"
agent call outs,accesses,external application programming interfaces and knowledge sources,"Powerful tools for personalisation: Using large language model-based agents, knowledge graphs and customer signals to connect with users"
"knowledge, content and transactional data",includes,customer signal data,"Powerful tools for personalisation: Using large language model-based agents, knowledge graphs and customer signals to connect with users"
customer signal data,describes,customer or employee characteristics,"Powerful tools for personalisation: Using large language model-based agents, knowledge graphs and customer signals to connect with users"
digital body language,includes,"click paths, searches and responses to campaigns","Powerful tools for personalisation: Using large language model-based agents, knowledge graphs and customer signals to connect with users"
marketing organisations,responsible for,end-to-end customer journey and experience,"Powerful tools for personalisation: Using large language model-based agents, knowledge graphs and customer signals to connect with users"
customer journey,involves,knowledge journey,"Powerful tools for personalisation: Using large language model-based agents, knowledge graphs and customer signals to connect with users"
user experience developers,designs,unified and contextualised experiences,"Powerful tools for personalisation: Using large language model-based agents, knowledge graphs and customer signals to connect with users"
Gen Z,responds to,hyper-personalized content,"Gen AI – Gen Z: understanding Gen Z’s emotional responses and brand experiences with Gen AI-driven, hyper-personalized advertising"
brands,harnesses,Gen AI-driven ads,"Gen AI – Gen Z: understanding Gen Z’s emotional responses and brand experiences with Gen AI-driven, hyper-personalized advertising"
brands,evokes emotions in,consumers,"Gen AI – Gen Z: understanding Gen Z’s emotional responses and brand experiences with Gen AI-driven, hyper-personalized advertising"
Gen AI,enables,hyper-personalized content,"Gen AI – Gen Z: understanding Gen Z’s emotional responses and brand experiences with Gen AI-driven, hyper-personalized advertising"
Generative AI,augments,Marketing Education,"CRAFTING AND EVALUATING GENERATIVE AI PROMPTS: INSIGHTS FROM STUDENTS, EDUCATORS, AND MARKETERS"
Generative AI,requires,Critical Thinking Skills,"CRAFTING AND EVALUATING GENERATIVE AI PROMPTS: INSIGHTS FROM STUDENTS, EDUCATORS, AND MARKETERS"
Generative AI,creates,Keyword Research Strategies,"CRAFTING AND EVALUATING GENERATIVE AI PROMPTS: INSIGHTS FROM STUDENTS, EDUCATORS, AND MARKETERS"
Generative AI,builds,Customer Profiles,"CRAFTING AND EVALUATING GENERATIVE AI PROMPTS: INSIGHTS FROM STUDENTS, EDUCATORS, AND MARKETERS"
Generative AI,generates,Presentation Outlines,"CRAFTING AND EVALUATING GENERATIVE AI PROMPTS: INSIGHTS FROM STUDENTS, EDUCATORS, AND MARKETERS"
Students,evaluate,Generated Output,"CRAFTING AND EVALUATING GENERATIVE AI PROMPTS: INSIGHTS FROM STUDENTS, EDUCATORS, AND MARKETERS"
LangChain,provides,LLM solutions,Introduction to LangChain Framework.
AI developers,use,LangChain framework,Introduction to LangChain Framework.
LangChain,simplifies,application creation,Introduction to LangChain Framework.
AI developers,construct,applications with LLMs,Introduction to LangChain Framework.
LLMs,augment,human capabilities,Introduction to LangChain Framework.
LangChain,empowers,AI development,Introduction to LangChain Framework.
AI developers,require,expertise in software and web development,Introduction to LangChain Framework.
LangChain,includes,Python and JavaScript package,Introduction to LangChain Framework.
LLMs,create,innovative ideas and applications,Introduction to LangChain Framework.
AI tools,augments,content marketing,Quick Guide to Content Marketing for B2B Small and Medium-Sized Enterprises: How SMEs Can Gain More Visibility on the Market
marketing professionals,requires,effective use of AI,Quick Guide to Content Marketing for B2B Small and Medium-Sized Enterprises: How SMEs Can Gain More Visibility on the Market
researchers,integrate,GenAI,Integrating GenAI interactions in marketing studies: A methodological guide
technical barriers,limit,adoption,Integrating GenAI interactions in marketing studies: A methodological guide
literature review,categorize,GenAI applications,Integrating GenAI interactions in marketing studies: A methodological guide
researchers,identify,untapped opportunities,Integrating GenAI interactions in marketing studies: A methodological guide
decision framework,explain,value of GenAI,Integrating GenAI interactions in marketing studies: A methodological guide
principal architecture,enable,connection to studies,Integrating GenAI interactions in marketing studies: A methodological guide
AI coding assistants,translate,natural language instructions,Integrating GenAI interactions in marketing studies: A methodological guide
non-technical researchers,eliminate,programming barriers,Integrating GenAI interactions in marketing studies: A methodological guide
step-by-step tutorials,establish,best practices,Integrating GenAI interactions in marketing studies: A methodological guide
researchers,master,AI coding assistants,Integrating GenAI interactions in marketing studies: A methodological guide
researchers,gain,methodological independence,Integrating GenAI interactions in marketing studies: A methodological guide
GenAI integration,democratize,researchers,Integrating GenAI interactions in marketing studies: A methodological guide
LLMs,augments,Legal QA,"13th International Conference on Big Data and Artificial Intelligence, BDA 2025"
Generative AI,drives,Monitoring and Management of Diabetes,"13th International Conference on Big Data and Artificial Intelligence, BDA 2025"
Stacked Ensemble,improves,Credit Risk Prediction,"13th International Conference on Big Data and Artificial Intelligence, BDA 2025"
Multimodal Large Language Models,assists,Annotation and Optimized Classifier Training,"13th International Conference on Big Data and Artificial Intelligence, BDA 2025"
Machine Learning,enhances,Intelligence Through Machine Learning,"13th International Conference on Big Data and Artificial Intelligence, BDA 2025"
GPUs,extracts,Frequent Patterns from Symbolic Sequence Data,"13th International Conference on Big Data and Artificial Intelligence, BDA 2025"
Phonetic Representations,identifies,Spoken Language Identification for Indian Languages,"13th International Conference on Big Data and Artificial Intelligence, BDA 2025"
Machine Learning Framework,predicts,Menstrual Phase and Athlete Performance Tracking,"13th International Conference on Big Data and Artificial Intelligence, BDA 2025"
Data-Driven Framework,optimizes,Restaurant Site Selection,"13th International Conference on Big Data and Artificial Intelligence, BDA 2025"
Vision Transformer-Derived Channel Augmentation,detects,Ocular Disease Diagnosis,"13th International Conference on Big Data and Artificial Intelligence, BDA 2025"
Siamese Network,detects,Temporal Land Cover Change Detection Using SAR,"13th International Conference on Big Data and Artificial Intelligence, BDA 2025"
Deep Learning Models,forecasts,Indian Stock Market Prices,"13th International Conference on Big Data and Artificial Intelligence, BDA 2025"
Transformers,compares to,CNNs in Wheat Disease Prediction,"13th International Conference on Big Data and Artificial Intelligence, BDA 2025"
Deep Neural Architecture,detects,Physiological Anomaly Detection,"13th International Conference on Big Data and Artificial Intelligence, BDA 2025"
EfficientNetB3,classifies,Plant Disease Classification Using Real-Time Approach for Agricultural Productivity,"13th International Conference on Big Data and Artificial Intelligence, BDA 2025"
Context-Aware Chatbot,provides,Agricultural Knowledge and Decision Support,"13th International Conference on Big Data and Artificial Intelligence, BDA 2025"
Machine Learning Based Wind and Turbulence Prediction,predicts,Drone Operations,"13th International Conference on Big Data and Artificial Intelligence, BDA 2025"
LLMs,empowers,Indian Farmers Through Domain-Specific Large Language Models for Agricultural Knowledge and Decision Support,"13th International Conference on Big Data and Artificial Intelligence, BDA 2025"
Contrastive Learning Based Fine-Tuning,generates,Personalized Marketing Offer Generation Using SLM4Offer,"13th International Conference on Big Data and Artificial Intelligence, BDA 2025"
Generative Causal Method,predicts,Cross-City Next POI Prediction,"13th International Conference on Big Data and Artificial Intelligence, BDA 2025"
Administrative Data Twin Framework,supports,SDG-Aligned Decision Making,"13th International Conference on Big Data and Artificial Intelligence, BDA 2025"
AI,enhances,phygital tourism experiences,AI-powered smartphones and phygital tourism experiences: implications and future research directions
AI-powered smartphones,supports,phygital tourism experiences,AI-powered smartphones and phygital tourism experiences: implications and future research directions
AI-powered smartphones,transforms,phygital tourism experiences,AI-powered smartphones and phygital tourism experiences: implications and future research directions
Generative AI,augments,advertising,Prarochana AI: AI-Enabled Ad Campaign Generation and Analysis
Generative AI,automates,advertisement campaign generation,Prarochana AI: AI-Enabled Ad Campaign Generation and Analysis
LLMs,facilitates,effective ad content creation,Prarochana AI: AI-Enabled Ad Campaign Generation and Analysis
Image generation models,generates,engaging ad content,Prarochana AI: AI-Enabled Ad Campaign Generation and Analysis
Generative AI,enhances,marketing efficiency,Prarochana AI: AI-Enabled Ad Campaign Generation and Analysis
Generative AI,enables,meaningful advertising content,Prarochana AI: AI-Enabled Ad Campaign Generation and Analysis
Generative AI,uses,large language model data sets,Artificial Intelligence in Digital Marketing: Towards an Analytical Framework for Revealing and Mitigating Bias
Generative AI,generates,new content,Artificial Intelligence in Digital Marketing: Towards an Analytical Framework for Revealing and Mitigating Bias
AI-generated applications and content,boosts,efficiency,Artificial Intelligence in Digital Marketing: Towards an Analytical Framework for Revealing and Mitigating Bias
AI-generated applications and content,presents,challenges regarding transparency and authenticity,Artificial Intelligence in Digital Marketing: Towards an Analytical Framework for Revealing and Mitigating Bias
Generative AI,raises,bias concerns,Artificial Intelligence in Digital Marketing: Towards an Analytical Framework for Revealing and Mitigating Bias
"Bias in coding, prompting, and deployment of AI",identified by,company marketeers,Artificial Intelligence in Digital Marketing: Towards an Analytical Framework for Revealing and Mitigating Bias
Industry-based practitioners,contributes to,development of theory and practice regarding the management of bias in AI-generated content,Artificial Intelligence in Digital Marketing: Towards an Analytical Framework for Revealing and Mitigating Bias
Generative AI,utilizes,machine learning,The Potential of Generative Artificial Intelligence Across Disciplines: Perspectives and Future Directions
Generative AI,generates,new content,The Potential of Generative Artificial Intelligence Across Disciplines: Perspectives and Future Directions
Generative AI,improves,business operations,The Potential of Generative Artificial Intelligence Across Disciplines: Perspectives and Future Directions
GenAI,augments,sentiment-detecting methods,Harnessing Gen AI for Accurate Sentiment Detection in Text
traditional approaches,replaces,lexical-based and statistical methods,Harnessing Gen AI for Accurate Sentiment Detection in Text
GenAI models,captures,subtle emotional tones,Harnessing Gen AI for Accurate Sentiment Detection in Text
GenAI,enhances,accuracy,Harnessing Gen AI for Accurate Sentiment Detection in Text
GenAI,scales well,different applications,Harnessing Gen AI for Accurate Sentiment Detection in Text
transfer learning and multimodal approaches,uses,"data from images, audio, or metadata",Harnessing Gen AI for Accurate Sentiment Detection in Text
GenAI,further,inclusive sentiment analysis,Harnessing Gen AI for Accurate Sentiment Detection in Text
AI,creates,images,Traditional vs. AI-generated brand personalities: Impact on brand preference and purchase intention
AI,reflects,brand personalities,Traditional vs. AI-generated brand personalities: Impact on brand preference and purchase intention
AI-generated images,influences,consumer preferences,Traditional vs. AI-generated brand personalities: Impact on brand preference and purchase intention
AI-generated images,affects,purchase intentions,Traditional vs. AI-generated brand personalities: Impact on brand preference and purchase intention
generative AI,shapes,consumer-brand dynamics,Traditional vs. AI-generated brand personalities: Impact on brand preference and purchase intention
consumers,believe,AI-authorship,"The AI-authorship effect: Understanding authenticity, moral disgust, and consumer responses to AI-generated marketing communications"
consumers,reduce,positive word of mouth,"The AI-authorship effect: Understanding authenticity, moral disgust, and consumer responses to AI-generated marketing communications"
consumers,reduce,customer loyalty,"The AI-authorship effect: Understanding authenticity, moral disgust, and consumer responses to AI-generated marketing communications"
factual messages,attenuate,AI-authorship effect,"The AI-authorship effect: Understanding authenticity, moral disgust, and consumer responses to AI-generated marketing communications"
emotional messages,exacerbate,AI-authorship effect,"The AI-authorship effect: Understanding authenticity, moral disgust, and consumer responses to AI-generated marketing communications"
consumers,believe,most marketing communications are written by AI,"The AI-authorship effect: Understanding authenticity, moral disgust, and consumer responses to AI-generated marketing communications"
communication reuse,reverse,AI-authorship effect,"The AI-authorship effect: Understanding authenticity, moral disgust, and consumer responses to AI-generated marketing communications"
perceived authenticity,mediate,AI-authorship effect,"The AI-authorship effect: Understanding authenticity, moral disgust, and consumer responses to AI-generated marketing communications"
moral disgust,mediate,AI-authorship effect,"The AI-authorship effect: Understanding authenticity, moral disgust, and consumer responses to AI-generated marketing communications"
AI,augments,marketing,Evaluating the Impact of MarkTech on Digital Transformation in the EU-27 Companies: An AI-Driven Predictive Model Approach
machine learning,improves,forecasting,Evaluating the Impact of MarkTech on Digital Transformation in the EU-27 Companies: An AI-Driven Predictive Model Approach
generative AI,predicts,influence,Evaluating the Impact of MarkTech on Digital Transformation in the EU-27 Companies: An AI-Driven Predictive Model Approach
digital tools,automates,tasks,Evaluating the Impact of MarkTech on Digital Transformation in the EU-27 Companies: An AI-Driven Predictive Model Approach
data analytics,analyses,customer behavior,Evaluating the Impact of MarkTech on Digital Transformation in the EU-27 Companies: An AI-Driven Predictive Model Approach
Patent analytics,analyses,Technological trends,Analysis of the Commercialization Potential of Digital Solutions in the Field of Generative Artificial Intelligence Based on the Patent Landscape
Generative AI,augments,Customer service automation,Analysis of the Commercialization Potential of Digital Solutions in the Field of Generative Artificial Intelligence Based on the Patent Landscape
Synthetic voice technologies,improves,Personalized marketing,Analysis of the Commercialization Potential of Digital Solutions in the Field of Generative Artificial Intelligence Based on the Patent Landscape
Audio deepfakes,requires,Regulatory challenges,Analysis of the Commercialization Potential of Digital Solutions in the Field of Generative Artificial Intelligence Based on the Patent Landscape
Generative AI,creates,Speech synthesis and recognition,Analysis of the Commercialization Potential of Digital Solutions in the Field of Generative Artificial Intelligence Based on the Patent Landscape
NLP,augments,internal linking,Natural language processing for internal link optimisation: Automating content relationships for better search engine optimisation
BERT,improves,semantic understanding,Natural language processing for internal link optimisation: Automating content relationships for better search engine optimisation
GPT-4,enhances,content relationships,Natural language processing for internal link optimisation: Automating content relationships for better search engine optimisation
Generative AI,promises,better scalability and accuracy,Natural language processing for internal link optimisation: Automating content relationships for better search engine optimisation
Human oversight,balances,automation,Natural language processing for internal link optimisation: Automating content relationships for better search engine optimisation
licensors,uses,generative AI,Digital marketing of standard essential patent licensing programs
marketing strategies,improves,transparency,Digital marketing of standard essential patent licensing programs
Generative AI,creates,flexible content,Electronic Commerce in the ERA of Generative Artificial Intelligence
Generative AI,automates,content generation,Electronic Commerce in the ERA of Generative Artificial Intelligence
Generative AI,augments,text generation models,Electronic Commerce in the ERA of Generative Artificial Intelligence
Generative AI,produces,material using generative model,Electronic Commerce in the ERA of Generative Artificial Intelligence
Advances in AI,accelerates,development of generative AI technologies,Electronic Commerce in the ERA of Generative Artificial Intelligence
Generative AI tools,requires,user-friendly interface,Electronic Commerce in the ERA of Generative Artificial Intelligence
Text generation models,changes,art and craft of writing,Electronic Commerce in the ERA of Generative Artificial Intelligence
LLM,creates,Pitch Decks,User-Centered Approach for AI-Powered Pitch Deck Creation
Generative AI,assists,early-stage startups,User-Centered Approach for AI-Powered Pitch Deck Creation
AI-driven tools,generates,business opportunities,User-Centered Approach for AI-Powered Pitch Deck Creation
AI,augments,marketing strategies,HRSTA: A Pipeline for Reference-Based High-Resolution Skin Tone Adjustment
HRSTA,replaces,photo shoots,HRSTA: A Pipeline for Reference-Based High-Resolution Skin Tone Adjustment
human visual perception,analyses,skin tones,HRSTA: A Pipeline for Reference-Based High-Resolution Skin Tone Adjustment
AI,augments,engagement,Enhancing cross-border shopping through AI chatbots: an antecedents–engagement–consequences perspective of brand-consumer interactions
perceived usefulness,enhances,chatbot engagement,Enhancing cross-border shopping through AI chatbots: an antecedents–engagement–consequences perspective of brand-consumer interactions
ease of use,enhances,chatbot engagement,Enhancing cross-border shopping through AI chatbots: an antecedents–engagement–consequences perspective of brand-consumer interactions
competence,enhances,chatbot engagement,Enhancing cross-border shopping through AI chatbots: an antecedents–engagement–consequences perspective of brand-consumer interactions
quality,enhances,chatbot engagement,Enhancing cross-border shopping through AI chatbots: an antecedents–engagement–consequences perspective of brand-consumer interactions
perceived warmth,moderates,relationships,Enhancing cross-border shopping through AI chatbots: an antecedents–engagement–consequences perspective of brand-consumer interactions
perceived threat,threatens,brand-consumer relationships,Enhancing cross-border shopping through AI chatbots: an antecedents–engagement–consequences perspective of brand-consumer interactions
AI,augments,human creativity,Unlocking Marketing Creativity Using Artificial Intelligence
AI,inspires,agile methods,Unlocking Marketing Creativity Using Artificial Intelligence
AI,augments,marketing approaches,Unlocking Marketing Creativity Using Artificial Intelligence
AI,requires,human creative processes,Unlocking Marketing Creativity Using Artificial Intelligence
AI systems,categorize,clusters of creativity,Unlocking Marketing Creativity Using Artificial Intelligence
Diffusion Models,augments,Text-to-Image Generation,What Lurks Within? Concept Auditing for Shared Diffusion Models at Scale
LoRA,enables,Customization of Pre-trained Models,What Lurks Within? Concept Auditing for Shared Diffusion Models at Scale
Fine-Tuned DMs,raises,Ethical and Legal Concerns,What Lurks Within? Concept Auditing for Shared Diffusion Models at Scale
Generative AI,attracts,Regulatory Attention,What Lurks Within? Concept Auditing for Shared Diffusion Models at Scale
Existing Approaches,suffers,"Prompt Uncertainty, Concept Drift, Poor Scalability",What Lurks Within? Concept Auditing for Shared Diffusion Models at Scale
PAIA,enables,Direct Analysis of Internal Model Behavior,What Lurks Within? Concept Auditing for Shared Diffusion Models at Scale
PAIA,integrates,Prompt-Agnostic Strategy and Image-Free Detection Method,What Lurks Within? Concept Auditing for Shared Diffusion Models at Scale
PAIA,assumes,Internal Access to DMs,What Lurks Within? Concept Auditing for Shared Diffusion Models at Scale
PAIA,requires,Access to Proprietary Fine-Tuning Data or User Prompts (not required),What Lurks Within? Concept Auditing for Shared Diffusion Models at Scale
PAIA,achieves,Over 90% Detection Accuracy,What Lurks Within? Concept Auditing for Shared Diffusion Models at Scale
marketers,use,generative AI,"Generative AI in Consumer Behaviour and Marketing: Applications, Opportunities and Challenges"
generative AI,acquires,knowledge,"Generative AI in Consumer Behaviour and Marketing: Applications, Opportunities and Challenges"
generative AI,produces,human-like insights,"Generative AI in Consumer Behaviour and Marketing: Applications, Opportunities and Challenges"
generative AI,creates,marketing content,"Generative AI in Consumer Behaviour and Marketing: Applications, Opportunities and Challenges"
generative AI,generates,market and consumer insights,"Generative AI in Consumer Behaviour and Marketing: Applications, Opportunities and Challenges"
marketers,understand,consumer behavior,"Generative AI in Consumer Behaviour and Marketing: Applications, Opportunities and Challenges"
generative AI,analyzes,customer data,"Generative AI in Consumer Behaviour and Marketing: Applications, Opportunities and Challenges"
businesses,need,data protection,"Generative AI in Consumer Behaviour and Marketing: Applications, Opportunities and Challenges"
e-commerce,uses,AI,"Artificial Intelligence in E-Commerce – Overview of Applications, Benefits and Challenges"
ChatGPT,creates,texts,"Artificial Intelligence in E-Commerce – Overview of Applications, Benefits and Challenges"
AI,translates,texts,"Artificial Intelligence in E-Commerce – Overview of Applications, Benefits and Challenges"
AI,reduces,personnel costs,"Artificial Intelligence in E-Commerce – Overview of Applications, Benefits and Challenges"
AI,saves,time,"Artificial Intelligence in E-Commerce – Overview of Applications, Benefits and Challenges"
AI,generates,product information,"Artificial Intelligence in E-Commerce – Overview of Applications, Benefits and Challenges"
AI,optimizes,SEO,"Artificial Intelligence in E-Commerce – Overview of Applications, Benefits and Challenges"
AI,increases,reach on Google,"Artificial Intelligence in E-Commerce – Overview of Applications, Benefits and Challenges"
AI,leads to,higher conversion rates,"Artificial Intelligence in E-Commerce – Overview of Applications, Benefits and Challenges"
